TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionYear,TransactionMonth,TransactionDay,TransactionHour,TransactionWeekday,DaysSincePrevious,Cluster,Target
14.09,1,36,0,70.0,0,81.0,1.0,5112.21,2023,4,11,16,1,-573,0,0
376.24,1,15,0,68.0,0,141.0,1.0,13758.91,2023,6,27,16,1,-496,2,2
126.29,1,23,2,19.0,3,56.0,1.0,1122.35,2023,7,10,18,0,-483,1,1
184.5,1,33,2,26.0,3,25.0,1.0,8569.06,2023,5,5,16,4,-549,0,0
13.45,0,1,2,45.0,3,198.0,1.0,7429.4,2023,10,16,17,0,-385,0,0
92.15,1,28,0,18.0,3,172.0,1.0,781.68,2023,4,3,17,0,-581,1,1
7.08,0,39,0,37.0,0,139.0,1.0,13316.71,2023,2,15,16,2,-628,2,2
171.42,0,16,1,67.0,2,291.0,1.0,2796.24,2023,5,8,17,0,-546,1,1
106.23,0,11,1,51.0,1,86.0,1.0,9095.14,2023,3,21,16,1,-594,2,2
815.96,1,26,0,55.0,0,120.0,1.0,1021.88,2023,3,31,16,4,-584,1,1
17.78,0,0,2,52.0,1,59.0,1.0,7599.52,2023,3,14,16,1,-601,0,0
190.02,1,22,2,21.0,3,173.0,1.0,1528.81,2023,2,6,17,0,-637,1,1
494.52,0,23,1,24.0,3,111.0,1.0,1620.02,2023,6,7,17,2,-516,1,1
781.76,1,22,0,26.0,3,123.0,1.0,189.69,2023,11,20,16,0,-350,1,1
166.99,1,21,2,18.0,3,134.0,1.0,299.93,2023,2,13,16,0,-630,1,1
465.45,1,10,0,36.0,1,129.0,1.0,3465.54,2023,12,12,16,1,-328,1,1
555.8,0,2,1,19.0,3,158.0,1.0,1131.26,2023,10,30,16,0,-371,1,1
492.93,1,8,2,39.0,1,234.0,1.0,5109.97,2023,12,14,18,3,-326,0,0
18.68,0,0,1,59.0,2,106.0,1.0,7948.37,2023,2,21,16,1,-622,0,0
71.48,0,8,2,18.0,3,169.0,1.0,6568.59,2023,6,8,18,3,-515,0,0
59.32,1,20,1,71.0,2,38.0,1.0,5750.89,2023,2,28,16,1,-615,0,0
85.77,1,19,1,38.0,0,93.0,1.0,9146.19,2023,8,11,18,4,-451,2,2
52.2,1,1,2,39.0,1,120.0,1.0,8974.93,2023,6,6,18,1,-517,2,2
345.84,1,13,2,22.0,3,142.0,3.0,1402.5,2023,5,2,18,1,-552,1,1
145.54,1,33,2,21.0,3,96.0,1.0,1930.96,2023,3,2,16,3,-613,1,1
7.49,0,15,2,65.0,2,276.0,1.0,3634.67,2023,10,20,17,4,-381,1,1
246.93,1,24,0,23.0,3,158.0,5.0,673.35,2023,4,17,16,0,-567,1,1
40.32,1,25,1,37.0,1,95.0,1.0,2686.52,2023,3,29,16,2,-586,1,1
127.45,1,19,2,44.0,0,197.0,1.0,1772.06,2023,1,24,16,1,-650,1,1
56.17,1,11,1,27.0,3,283.0,1.0,1351.69,2023,9,20,16,2,-411,1,1
28.31,0,24,2,59.0,0,20.0,1.0,8334.47,2023,7,17,17,0,-476,0,0
59.12,1,3,0,29.0,0,257.0,1.0,9823.64,2023,2,6,16,0,-637,2,2
396.45,1,27,0,49.0,1,168.0,3.0,9690.15,2023,9,25,16,0,-406,2,2
877.81,1,20,2,22.0,3,150.0,1.0,399.0,2023,3,13,17,0,-602,1,1
